* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-27  Muestras roedores 2.eds
* Experiment Run End Time = 2015-04-27 16:54:12 PM ART
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
E1	34	115.3545
E1	35	189.5839
E1	36	311.2213
E1	37	521.6761
E1	38	905.2531
E1	39	1568.8844
E1	40	2626.3977
E2	1	119.6619
E2	2	74.6519
E2	3	36.2986
E2	4	25.6131
E2	5	31.9512
E2	6	6.7293
E2	7	4.1416
E2	8	8.6493
E2	9	-6.194
E2	10	-13.6277
E2	11	-1.7015
E2	12	-7.7089
E2	13	-16.2405
E2	14	-19.3823
E2	15	-17.9152
E2	16	-23.1638
E2	17	-16.2465
E2	18	-21.8208
E2	19	-26.8125
E2	20	-2.4794
E2	21	-5.6974
E2	22	-19.2496
E2	23	7.0358
E2	24	-6.9268
E2	25	-7.3784
E2	26	4.1789
E2	27	-7.1407
E2	28	1.8669
E2	29	-0.7839
E2	30	27.3263
E2	31	23.4934
E2	32	43.1857
E2	33	39.7146
E2	34	65.6702
E2	35	119.8902
E2	36	198.4136
E2	37	348.6911
E2	38	617.5787
E2	39	1086.0552
E2	40	1883.3055
E3	1	181.6965
E3	2	98.3476
E3	3	36.379
E3	4	25.186
E3	5	13.0276
E3	6	-1.0394
E3	7	-3.5622
E3	8	-6.8374
E3	9	-14.3865
E3	10	-17.2828
E3	11	-12.1532
E3	12	-8.24
E3	13	-5.0065
E3	14	-9.1195
E3	15	-11.3859
E3	16	-0.1409
E3	17	2.8241
E3	18	-0.864
E3	19	-12.1389
E3	20	-4.8767
E3	21	-9.0884
E3	22	-8.2299
E3	23	0.5005
E3	24	-4.7574
E3	25	12.6384
E3	26	5.7796
E3	27	14.2579
E3	28	-4.505
E3	29	-5.5419
E3	30	-7.7475
E3	31	12.0437
E3	32	24.2672
E3	33	20.5706
E3	34	85.5405
E3	35	163.2183
E3	36	307.568
E3	37	597.7284
E3	38	1128.011
E3	39	1966.756
E3	40	3264.3538
E4	1	210.4528
E4	2	106.286
E4	3	47.7473
E4	4	22.9091
E4	5	17.2186
E4	6	-3.145
E4	7	-1.4024
E4	8	8.9047
E4	9	-4.1132
E4	10	9.8705
E4	11	-5.9482
E4	12	-5.8693
E4	13	-24.183
E4	14	-23.48
E4	15	-0.3963
E4	16	-25.5307
E4	17	-18.5957
E4	18	-12.9964
E4	19	-29.514
E4	20	-2.4168
E4	21	-13.7809
E4	22	-17.1218
E4	23	-5.7468
E4	24	-12.8041
E4	25	3.4805
E4	26	-2.0955
E4	27	6.5578
E4	28	8.4334
E4	29	8.8279
E4	30	28.1068
E4	31	18.7044
E4	32	28.3791
E4	33	20.0224
E4	34	34.3744
E4	35	39.1653
E4	36	58.4857
E4	37	100.3381
E4	38	160.5713
E4	39	228.1057
E4	40	370.0383
E5	1	206.6805
E5	2	101.1377
E5	3	57.0165
E5	4	16.0467
E5	5	6.8443
E5	6	3.4467
E5	7	-21.8674
E5	8	-8.1736
E5	9	-8.8681
E5	10	4.1275
E5	11	-6.7406
E5	12	-15.5718
E5	13	-14.7888
E5	14	1.7341
E5	15	-1.2592
E5	16	-12.7104
E5	17	-7.2418
E5	18	-9.1816
E5	19	-18.8047
E5	20	-7.2665
E5	21	-5.296
E5	22	-7.3908
E5	23	4.0227
E5	24	2.8474
E5	25	6.5352
E5	26	-2.9942
E5	27	-6.6158
E5	28	1.7985
E5	29	-0.845
E5	30	19.1115
E5	31	10.776
E5	32	21.3092
E5	33	16.4085
E5	34	48.396
E5	35	72.0171
E5	36	89.1495
E5	37	163.2711
E5	38	321.0874
E5	39	527.8578
E5	40	769.0232
E6	1	206.1271
E6	2	88.9897
E6	3	46.621
E6	4	30.1757
E6	5	11.8014
E6	6	-3.9329
E6	7	-1.4736
E6	8	-18.2313
E6	9	-4.1293
E6	10	-19.638
E6	11	-27.0692
E6	12	-6.4476
E6	13	-16.6176
E6	14	-15.3133
E6	15	-6.3885
E6	16	-7.7772
E6	17	-11.0164
E6	18	-0.8395
E6	19	-10.3424
E6	20	-0.9889
E6	21	-10.6342
E6	22	4.9016
E6	23	15.1298
E6	24	21.3184
E6	25	9.1204
E6	26	21.7717
E6	27	21.6998
E6	28	27.657
E6	29	35.5255
E6	30	54.5763
E6	31	70.9602
E6	32	117.7264
E6	33	164.2259
E6	34	271.6171
E6	35	441.287
E6	36	603.142
E6	37	793.9927
E6	38	1012.9551
E6	39	1201.0026
E6	40	1377.2091
E7	1	22.0612
E7	2	-22.0612
E7	3	-66.137
E7	4	-50.7924
E7	5	-46.0421
E7	6	-47.417
E7	7	-36.7946
E7	8	-25.3398
E7	9	-42.8527
E7	10	-12.6236
E7	11	-1.9793
E7	12	-5.2568
E7	13	22.4652
E7	14	33.6699
E7	15	70.0923
E7	16	60.7794
E7	17	82.4674
E7	18	101.4595
E7	19	115.2469
E7	20	136.9726
E7	21	160.1913
E7	22	163.9741
E7	23	170.7122
E7	24	176.1087
E7	25	212.1342
