"Well"	"Cycle"	"Rn"	"delta.RN"
"722"	"LZ07"	2	-678.9838	36.0817
"723"	"LZ07"	3	-710.7974	5.4328
"724"	"LZ07"	4	-707.8122	9.5826
"725"	"LZ07"	5	-728.0458	-9.4864
"726"	"LZ07"	6	-718.5574	1.1666
"727"	"LZ07"	7	-722.2823	-1.3937
"728"	"LZ07"	8	-721.8054	0.2479
"729"	"LZ07"	9	-729.0771	-5.8592
"730"	"LZ07"	10	-742.926	-18.5434
"731"	"LZ07"	11	-716.8002	8.7469
"732"	"LZ07"	12	-718.5447	8.167
"733"	"LZ07"	13	-727.5307	0.3457
"734"	"LZ07"	14	-738.1716	-9.1306
"735"	"LZ07"	15	-719.4818	10.7238
"736"	"LZ07"	16	-725.3226	6.0476
"737"	"LZ07"	17	-713.1732	19.3617
"738"	"LZ07"	18	-714.4647	19.2348
"739"	"LZ07"	19	-713.7567	21.1075
"740"	"LZ07"	20	-714.0603	21.9685
"741"	"LZ07"	21	-711.9536	25.2398
"742"	"LZ07"	22	-705.9592	32.3988
"743"	"LZ07"	23	-707.2253	32.2974
"744"	"LZ07"	24	-714.2391	26.4481
"745"	"LZ07"	25	-719.0421	22.8098
"746"	"LZ07"	26	-714.2933	28.7232
"747"	"LZ07"	27	-722.8292	21.3519
"748"	"LZ07"	28	-724.5074	20.8384
"749"	"LZ07"	29	-715.2072	31.3032
"750"	"LZ07"	30	-723.3076	24.3675
"751"	"LZ07"	31	-712.5461	36.2935
"752"	"LZ07"	32	-716.2789	33.7254
"753"	"LZ07"	33	-718.756	32.4129
"754"	"LZ07"	34	-701.2168	51.1167
"755"	"LZ07"	35	-711.1412	42.3569
"756"	"LZ07"	36	-700.6813	53.9814
"757"	"LZ07"	37	-675.7519	80.0755
"758"	"LZ07"	38	-643.1118	113.8802
"759"	"LZ07"	39	-553.9646	204.1921
"760"	"LZ07"	40	-414.2758	345.0455
"761"	"LZ17"	1	-977.2682	136.1561
"762"	"LZ17"	2	-1067.7534	51.8282
"763"	"LZ17"	3	-1115.8301	9.9089
"764"	"LZ17"	4	-1121.275	10.6213
"765"	"LZ17"	5	-1125.297	12.7566
"766"	"LZ17"	6	-1147.1603	-2.9494
"767"	"LZ17"	7	-1168.4641	-18.0959
"768"	"LZ17"	8	-1170.3607	-13.8352
"769"	"LZ17"	9	-1167.2236	-4.5408
