* Block Type = 48well
* Chemistry = TAQMAN
* Experiment File Name = D:\Leptospira\15-4-23  Muestras roedores 1.eds
* Experiment Run End Time = Not Started
* Instrument Type = stepone
* Passive Reference = 

[Amplification Data]
Well	Cycle	ΔRn
C6	23	40.8617
C6	24	42.7788
C6	25	54.0303
C6	26	53.6547
C6	27	56.2622
C6	28	69.1595
C6	29	81.397
C6	30	87.2757
C6	31	102.4034
C6	32	134.4843
C6	33	213.1202
C6	34	336.8816
C6	35	576.1353
C6	36	1019.9709
C6	37	1819.6953
C6	38	3135.7065
C6	39	5127.0103
C6	40	7441.2915
C7	1	142.8437
C7	2	50.0125
C7	3	14.6829
C7	4	5.9673
C7	5	-12.3796
C7	6	-2.2393
C7	7	8.8202
C7	8	-1.3445
C7	9	-13.8135
C7	10	-17.0494
C7	11	-5.4746
C7	12	6.3559
C7	13	11.0492
C7	14	-10.1761
C7	15	15.6015
C7	16	7.691
C7	17	4.4042
C7	18	15.0571
C7	19	19.7355
C7	20	22.5135
C7	21	28.4219
C7	22	24.372
C7	23	17.2606
C7	24	23.2339
C7	25	23.5966
C7	26	37.9615
C7	27	35.8658
C7	28	38.1806
C7	29	42.7987
C7	30	48.4963
C7	31	48.2854
C7	32	48.8644
C7	33	49.3994
C7	34	53.0632
C7	35	53.1291
C7	36	63.496
C7	37	71.3748
C7	38	62.2732
C7	39	67.8339
C7	40	72.7241
C8	1	102.8219
C8	2	38.0605
C8	3	39.8589
C8	4	19.743
C8	5	-2.809
C8	6	-19.7574
C8	7	-29.7794
C8	8	-12.8242
C8	9	-21.4186
C8	10	-13.4465
C8	11	-0.7554
C8	12	2.7001
C8	13	7.6274
C8	14	13.8411
C8	15	17.02
C8	16	25.0624
C8	17	43.257
C8	18	49.2065
C8	19	47.5769
C8	20	69.631
C8	21	71.349
C8	22	92.486
C8	23	77.533
C8	24	92.9067
C8	25	93.67
C8	26	118.5704
C8	27	128.9033
C8	28	129.7657
C8	29	137.8261
C8	30	144.8127
C8	31	156.2057
C8	32	174.4459
C8	33	182.0811
C8	34	194.8062
C8	35	204.1967
C8	36	202.6919
C8	37	211.1655
C8	38	228.8695
C8	39	237.3761
C8	40	257.1878
D1	1	-13.558
D1	2	36.4664
D1	3	34.6183
D1	4	16.5626
D1	5	2.3123
D1	6	-6.457
D1	7	-13.1064
D1	8	-31.4838
D1	9	-26.9682
D1	10	-14.9133
D1	11	-0.5991
D1	12	-8.3857
D1	13	9.3847
D1	14	7.7787
D1	15	31.2569
D1	16	25.9657
D1	17	32.6318
D1	18	52.6946
D1	19	69.3055
D1	20	91.8992
D1	21	103.0677
D1	22	126.6689
D1	23	120.2792
